iso_code,continent,location,date,cases,deaths
JPN,Asia,Japan,21-Jun,421.2,13.7
GBR,Europe,United Kingdom,21-Jun,4601.9,5.3
USA,North America,United States,21-Jun,1202.6,31.6
ARG,South America,Argentina,21-Jul,10073.1,250.3
AUS,Oceania,Australia,21-Jul,145.0,0.5
ITA,Europe,Italy,21-Jul,1492.8,8.2
JPN,Asia,Japan,21-Jul,1007.7,3.2
GBR,Europe,United Kingdom,21-Jul,15547.5,22.2
USA,North America,United States,21-Jul,3965.2,26.2
ARG,South America,Argentina,21-Aug,5610.2,133.6
AUS,Oceania,Australia,21-Aug,803.1,3.4
ITA,Europe,Italy,21-Aug,3146.8,19.2
JPN,Asia,Japan,21-Aug,4504.3,6.9
GBR,Europe,United Kingdom,21-Aug,13700.1,42.4
USA,North America,United States,21-Aug,12880.8,83.9
ARG,South America,Argentina,21-Sep,2019.8,11.6
AUS,Oceania,Australia,21-Sep,0.9,0.0
ITA,Europe,Italy,21-Sep,2192.6,28.2
JPN,Asia,Japan,21-Sep,1671.6,12.6
GBR,Europe,United Kingdom,21-Sep,14932.2,60.5
USA,North America,United States,21-Sep,12464.0,176.3
ARG,South America,Argentina,21-Oct,699.6,16.9
AUS,Oceania,Australia,21-Oct,2514.7,16.8
ITA,Europe,Italy,21-Oct,1650.1,19.5
JPN,Asia,Japan,21-Oct,137.0,4.9
GBR,Europe,United Kingdom,21-Oct,18356.3,58.3
USA,North America,United States,21-Oct,7526.7,143.5
ARG,South America,Argentina,21-Nov,919.6,14.0
AUS,Oceania,Australia,21-Nov,1536.6,10.4
ITA,Europe,Italy,21-Nov,4250.3,28.6
JPN,Asia,Japan,21-Nov,34.1,0.7
GBR,Europe,United Kingdom,21-Nov,17245.3,63.6
USA,North America,United States,21-Nov,7663.7,102.7
ARG,South America,Argentina,21-Dec,7096.9,12.7
AUS,Oceania,Australia,21-Dec,7417.9,9.2
ITA,Europe,Italy,21-Dec,18174.3,59.2
JPN,Asia,Japan,21-Dec,44.9,0.3
GBR,Europe,United Kingdom,21-Dec,39855.7,53.7
USA,North America,United States,21-Dec,18599.5,134.8
ARG,South America,Argentina,22-Jan,24968.5,14.0
AUS,Oceania,Australia,22-Jan,43586.3,12.6
ITA,Europe,Italy,22-Jan,33626.8,46.2
JPN,Asia,Japan,22-Jan,604.6,0.2
GBR,Europe,United Kingdom,22-Jan,29878.9,40.0
USA,North America,United States,22-Jan,27966.9,60.2
